Feature,CompGroup(C),BaseGroup(B),NumSamplesInC,NumSamplesInB,SignedFC,Tstatistic,Parameter,Pvalue,95%Conf.Int.1,95%Conf.Int.2,MeanC,MeanB,NullValue-DifferenceInMeans,Alternative,Method,FDR
X2363248_LY9,Relapse,RelapseFree,20,20,-1.02121101205657,-0.46742190022889,36.8112577511013,0.642953342438812,-0.161566578390187,0.101004578390188,4.276143,4.306424,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2424524_DPYD,Relapse,RelapseFree,20,20,1.04303639561312,0.467342108512829,36.7958455272803,0.643011033082453,-0.202816745546189,0.324395745546189,3.7733825,3.712593,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2876608_CXCL14,Relapse,RelapseFree,20,20,-1.11367903162596,-0.467685135581984,33.7397230075337,0.643016638680272,-0.830500084031783,0.519833084031785,6.4186775,6.574011,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3182930_OR13D1,Relapse,RelapseFree,20,20,-1.06641982068669,-0.467480197166716,33.4914262055205,0.643183898578051,-0.496317759394993,0.310766759394993,2.6894805,2.782256,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3887094_ZSWIM3,Relapse,RelapseFree,20,20,-1.03681679989309,-0.4672409937561,34.4221448334334,0.643271810481769,-0.278930576068228,0.174608576068228,2.5934,2.645561,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2987038_GPER,Relapse,RelapseFree,20,20,1.02401830167096,0.467265515395207,33.9556162923777,0.643294711299926,-0.114689779066922,0.183172779066923,4.712075,4.6778335,0,two.sided,Welch Two Sample t-test,0.998325515159334
X4030371_NLGN4Y,Relapse,RelapseFree,20,20,-1.09442948236425,-0.467045350286051,35.8151525588122,0.643296414019585,-0.695568571887538,0.435210571887538,2.8910185,3.0211975,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2834743_ADRB2,Relapse,RelapseFree,20,20,1.02811453929051,0.467213702541861,33.7354271025363,0.643350787695752,-0.134042059502307,0.214044059502308,4.398001,4.358,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3377669_LTBP3,Relapse,RelapseFree,20,20,1.02373087488028,0.466862379920655,35.5378126155065,0.643448032002301,-0.113218838558891,0.180891838558892,5.5649325,5.531096,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2662491_TMEM111,Relapse,RelapseFree,20,20,1.06871783490356,0.46637083600533,37.2425394383473,0.643666626005288,-0.320591573516979,0.51235357351698,6.116291,6.02041,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2969289_WASF1,Relapse,RelapseFree,20,20,1.04219518892565,0.466850950536229,32.9167794300041,0.643681941522895,-0.200244687411111,0.319495687411111,2.9740075,2.914382,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3375708_SCGB1D4,Relapse,RelapseFree,20,20,-1.03994267172268,-0.467370217680474,28.6549086935515,0.64376978385347,-0.303897038804173,0.190889038804174,4.2419095,4.2984135,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3962054_NHP2L1,Relapse,RelapseFree,20,20,-1.10928840346839,-0.466107958269636,37.5596317578614,0.643830204219346,-0.799775478661313,0.500506478661311,8.136432,8.2860665,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2514566_SSB,Relapse,RelapseFree,20,20,-1.11444660784105,-0.466395598235955,33.908964177109,0.643914902154891,-0.837567040599619,0.524912040599619,9.93009,10.0864175,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3129175_SCARA5,Relapse,RelapseFree,20,20,1.02735906789826,0.466161245756936,35.7860111584364,0.64392526258319,-0.130510298244834,0.208391298244833,4.232838,4.1938975,0,two.sided,Welch Two Sample t-test,0.998325515159334
