Feature,CompGroup.C.,BaseGroup.B.,NumSamplesInC,NumSamplesInB,SignedFC,Tstatistic,Parameter,Pvalue,X95.Conf.Int.1,X95.Conf.Int.2,MeanC,MeanB,NullValue.DifferenceInMeans,Alternative,Method,FDR
X3278057_CCDC3,Relapse,RelapseFree,20,20,-1.206590392,-2.469807844,37.99998856,0.018123854,-0.493010468,-0.048861532,2.865287,3.136223,0,two.sided,Welch Two Sample t-test,0.998325515
X2767790_GNPDA2,Relapse,RelapseFree,20,20,-1.159744497,-2.473575012,35.82513672,0.018253926,-0.389137926,-0.038476074,2.7488445,2.9626515,0,two.sided,Welch Two Sample t-test,0.998325515
X2453065_C1orf116,Relapse,RelapseFree,20,20,1.164960469,2.466956938,37.18023206,0.018355301,0.039386606,0.401175394,5.045089,4.824808,0,two.sided,Welch Two Sample t-test,0.998325515
X3835911_APOC4,Relapse,RelapseFree,20,20,1.193890895,2.481138278,32.96634696,0.018371526,0.046014514,0.465327486,5.802073,5.546402,0,two.sided,Welch Two Sample t-test,0.998325515
X2749191_GLRB,Relapse,RelapseFree,20,20,-1.149047151,-2.497512296,28.21287733,0.018607573,-0.364777174,-0.036098826,1.869812,2.07025,0,two.sided,Welch Two Sample t-test,0.998325515
X3843386_ZNF530,Relapse,RelapseFree,20,20,-1.282218385,-2.463185185,36.1163649,0.018668652,-0.653901297,-0.063382703,3.0261195,3.3847615,0,two.sided,Welch Two Sample t-test,0.998325515
X3945914_ATF4,Relapse,RelapseFree,20,20,1.117644601,2.46852815,34.12622295,0.018732215,0.028377699,0.292545301,5.972281,5.8118195,0,two.sided,Welch Two Sample t-test,0.998325515
X3674273_C16orf55,Relapse,RelapseFree,20,20,-1.242228868,-2.462498283,35.74114504,0.018753313,-0.570723311,-0.055138689,4.3362755,4.6492065,0,two.sided,Welch Two Sample t-test,0.998325515
X2460189_PGBD5,Relapse,RelapseFree,20,20,-1.185107968,-2.486626404,29.21783677,0.018852087,-0.446478945,-0.043558055,3.475834,3.7208525,0,two.sided,Welch Two Sample t-test,0.998325515
X3318383_OR52B6,Relapse,RelapseFree,20,20,1.260485044,2.453075048,37.99752779,0.018865204,0.058363061,0.609594939,4.239443,3.905464,0,two.sided,Welch Two Sample t-test,0.998325515
X2527580_CXCR2,Relapse,RelapseFree,20,20,-1.140441544,-2.451416317,37.46529653,0.019010326,-0.346232527,-0.032952473,3.5146895,3.704282,0,two.sided,Welch Two Sample t-test,0.998325515
X2791593_C4orf45,Relapse,RelapseFree,20,20,-1.182878177,-2.470114276,31.72593758,0.019075193,-0.442178596,-0.042424404,2.0345975,2.276899,0,two.sided,Welch Two Sample t-test,0.998325515
X3964299_LOC100128818,Relapse,RelapseFree,20,20,1.112926255,2.461571268,32.92399889,0.019242958,0.026768253,0.281947747,5.204901,5.050543,0,two.sided,Welch Two Sample t-test,0.998325515
X3655060_ATP2A1,Relapse,RelapseFree,20,20,1.087676478,2.444604784,37.85008897,0.01927011,0.020828887,0.221670113,4.20434,4.0830905,0,two.sided,Welch Two Sample t-test,0.998325515
X2441329_C1orf110,Relapse,RelapseFree,20,20,-1.174767696,-2.45327517,34.65022545,0.019334141,-0.424737791,-0.040013209,3.029326,3.2617015,0,two.sided,Welch Two Sample t-test,0.998325515
X3974957_GPR82,Relapse,RelapseFree,20,20,-1.186724459,-2.443058545,37.46853378,0.019392267,-0.451739814,-0.042230186,1.876684,2.123669,0,two.sided,Welch Two Sample t-test,0.998325515
X2443450_SELL,Relapse,RelapseFree,20,20,-1.271496067,-2.441819013,37.3513528,0.019465464,-0.633979722,-0.059074278,3.6562735,4.0028005,0,two.sided,Welch Two Sample t-test,0.998325515
X2502952_TMEM177,Relapse,RelapseFree,20,20,1.191663576,2.438764832,37.96634202,0.019524804,0.042977222,0.462976778,4.3921425,4.1391655,0,two.sided,Welch Two Sample t-test,0.998325515
X2505293_RAB6C,Relapse,RelapseFree,20,20,-1.256054009,-2.438311025,37.68572531,0.019583268,-0.602039452,-0.055757548,3.9317705,4.260669,0,two.sided,Welch Two Sample t-test,0.998325515
X3043231_,Relapse,RelapseFree,20,20,1.486177054,2.438582679,37.48482296,0.019597694,0.096871905,1.046340095,4.024988,3.453382,0,two.sided,Welch Two Sample t-test,0.998325515
X3878836_RIN2,Relapse,RelapseFree,20,20,1.287277419,2.437411719,37.47722997,0.019653375,0.061595583,0.667050417,6.3254215,5.9610985,0,two.sided,Welch Two Sample t-test,0.998325515
X2340695_SGIP1,Relapse,RelapseFree,20,20,-1.21365679,-2.459680104,31.12183209,0.019660689,-0.510963426,-0.047757574,3.874762,4.1541225,0,two.sided,Welch Two Sample t-test,0.998325515
X2334740_FAAH,Relapse,RelapseFree,20,20,1.09783672,2.436602256,37.60309538,0.019674189,0.022742677,0.246584323,5.071842,4.9371785,0,two.sided,Welch Two Sample t-test,0.998325515
X3740664_C17orf91,Relapse,RelapseFree,20,20,1.263071229,2.436547011,37.52195809,0.01968775,0.056877063,0.616994937,5.049994,4.713058,0,two.sided,Welch Two Sample t-test,0.998325515
X3770345_CD300E,Relapse,RelapseFree,20,20,1.230369376,2.441374232,35.79326331,0.019707865,0.050580909,0.547602091,5.8266395,5.527548,0,two.sided,Welch Two Sample t-test,0.998325515
